epoch,steps,cosine_pearson,cosine_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,dot_pearson,dot_spearman
0,50000,0.7347924951557856,0.7348825647262024,0.7038168828429023,0.689707001461217,0.7027741241530076,0.6879036549039758,0.6165882517853969,0.6202592432790909
0,100000,0.7875968195345932,0.7938190991274434,0.7571800808596992,0.7513653043467128,0.7563689118245821,0.7501844776351375,0.709133896361503,0.721922611174953
0,150000,0.7885049035406204,0.7940248119604494,0.7596999611061666,0.750602054257987,0.7588648447283843,0.7502886795364195,0.6996796155294499,0.7174108015278287
0,200000,0.78918461241831,0.7969640061576418,0.7593445527328097,0.7541699119775268,0.7588637723955953,0.7536992731318843,0.703627356428465,0.7218257153141149
0,250000,0.7899337369639283,0.7953921294074948,0.7558495628276858,0.7486960438349072,0.7548416578542118,0.7455296133660625,0.6850195037141011,0.7135222783506197
0,300000,0.786370949284219,0.7919557638213738,0.7558368777622417,0.7473714108093856,0.7551972745243025,0.7451039620571359,0.7076332037362898,0.7223009664410831
0,350000,0.7850759097452513,0.7923844924359564,0.7511999594829564,0.7412819439805947,0.7516615526390027,0.7411419827552564,0.6920694429239709,0.7068145470318806
0,400000,0.7878342218865311,0.7935876241265655,0.7542953992170196,0.7478647356778163,0.7538565705036575,0.7463320833585918,0.6922553942189238,0.7145150764168269
0,450000,0.7875422631994036,0.7913655410201322,0.7599260369563866,0.750937730493482,0.7598081651548406,0.752476150445619,0.7012072036169584,0.7130304934061276
0,500000,0.7881416902638347,0.792625195676072,0.7523627687450536,0.7434098160163671,0.7536803096106965,0.7448401889786139,0.6875461741056793,0.7088685854786966
0,550000,0.7850347298856861,0.7861085207344158,0.7553537444880499,0.7468930817865268,0.7544097628693992,0.744512971938057,0.6862729459182881,0.7008162318371353
0,600000,0.7865407485163938,0.7905307698790928,0.763829730047231,0.7596645435986307,0.7642549613325755,0.7593619351251661,0.6998046203736181,0.7135964882757855
0,650000,0.7887725429675728,0.7909133572974871,0.7673946563705215,0.7613075499609103,0.7685775958179314,0.76293171538901,0.6896675327784878,0.7022250668931319
0,700000,0.7837680004239302,0.7898505717452842,0.7572827793662049,0.749446220622365,0.7586605758122442,0.7525749692228495,0.6797380475244827,0.696840040976311
0,750000,0.788965368417196,0.7930931443074146,0.7653164392514922,0.7576800933679437,0.765138903824393,0.7569856703653045,0.6872235327522896,0.6991624655773533
0,800000,0.7944552736033224,0.7967390678262242,0.7626924547509282,0.7529302554102463,0.7616344574403473,0.7514299018353303,0.7005330995417003,0.7124172041282032
0,850000,0.800445267803196,0.8040705193905714,0.759781033789533,0.750580906270642,0.7597967722452686,0.7517382779417072,0.6793712948387121,0.7013099393185489
0,900000,0.794207430051215,0.8003069358214818,0.7757712669321561,0.7728524285070018,0.7752176194796234,0.7736283673881346,0.6937480100054119,0.7113432750039133
0,950000,0.7999807064197522,0.8027578023590152,0.7750231587860201,0.7693849276001358,0.7741616478728588,0.768102975058165,0.7001042443616965,0.7187385055257425
0,1000000,0.797342465972799,0.799956262730451,0.764219444655333,0.7569829788032787,0.7631096838860075,0.7554680138916519,0.6878777515259606,0.6991528528927464
0,1050000,0.7936417200725344,0.7987919665466336,0.7644461617533052,0.7580780600388914,0.7643792980496092,0.7585306269680754,0.6988029608238682,0.7099152145787028
0,1100000,0.7889855299435263,0.7936910573080209,0.7569698567222604,0.7466869850371277,0.7564210558508468,0.7461405979459039,0.6832429802290767,0.6996884716790464
0,1150000,0.7940104742084113,0.7994383278032375,0.7640811161174993,0.7582864638414553,0.7637008222667094,0.755646041494211,0.6997636455753475,0.7177491680259938
0,1200000,0.7994684861267525,0.8020403067582876,0.7655051190693589,0.7546332451548137,0.7647905926137837,0.7551373362713475,0.6906242919789003,0.7020997174858571
0,1250000,0.7960078493563163,0.7989442324940551,0.7704385482711507,0.7653725776374891,0.7698138119348066,0.7629820860497772,0.6897634162538648,0.7041556784695945
0,1300000,0.7936482519552372,0.797202402337948,0.7670976018580349,0.7607450134975321,0.7663879889119518,0.761482501492583,0.6921554391766142,0.7046716873792963
0,1350000,0.7841544489549159,0.7881629574946983,0.7628965870398231,0.7564050619854678,0.762456522221629,0.7573109648615575,0.6868728654422589,0.6992232177440693
0,1400000,0.7976473054288268,0.8019895514424806,0.7585190176230792,0.7534239647875379,0.7585054645077003,0.7528306676152942,0.6896181879778875,0.7084375527009202
0,1450000,0.7937688341368807,0.7989569213230068,0.7654862994064592,0.757885421099621,0.7645600312408649,0.757641257973001,0.682282736865149,0.7043571603389563
0,1500000,0.7931252054253779,0.798989989180275,0.7676059350581212,0.7632001025738617,0.7663610077567825,0.7616555304799516,0.6837950561937005,0.7009281234859603
0,1550000,0.7903514921492139,0.7928209112499037,0.7640931842547374,0.7558955877448826,0.7633488194034711,0.7550569739194363,0.685680253455329,0.7021912302433153
0,1600000,0.7914337575225021,0.7974496422475235,0.7629840908187404,0.7546905369750757,0.7618720334261699,0.7536008388635146,0.6761962119413996,0.6952212648884982
0,1650000,0.7897233110369937,0.7931392855036028,0.7631396906228443,0.7545098178104908,0.7622482735083908,0.7532374779900407,0.6892633384938804,0.7031740311175314
0,1700000,0.7845163529365551,0.7897559822930983,0.769058435614515,0.7605020038974946,0.7685428730703827,0.7600871188366708,0.6961827071563251,0.7151079868033845
0,1750000,0.7945644393136584,0.7983982283391605,0.7727283806745834,0.7629870846649679,0.7715457953111222,0.7614840395280262,0.6907631706138597,0.7138844843066102
0,1800000,0.7943331495439425,0.7979022104801367,0.7777543141436749,0.7671417029061175,0.7757664891048688,0.7649534629791964,0.7009517081734482,0.7161834539572115
0,1850000,0.7956063414948233,0.7985151193695041,0.7756772319865433,0.7692149746836537,0.774416265594562,0.7671155563035817,0.7023627982474662,0.7180610035146436
0,1900000,0.7811811304120502,0.7830778131647831,0.7597604386206088,0.7503186712275633,0.7585922482121255,0.7483019222525675,0.6884316203672898,0.7037461781053378
0,1950000,0.7934781288176068,0.7948780395799638,0.7655627225696591,0.7561036070385857,0.7648156614668518,0.7547201441573589,0.6949465707037585,0.7121134432946231
0,2000000,0.7813902929971495,0.786621457032042,0.7619456275542041,0.7535189384761601,0.7601634756060419,0.7510688480150213,0.6968551843077344,0.7056764051744161
0,2050000,0.791690516992896,0.7955582377137727,0.774663155982794,0.7664807321743695,0.773232719279074,0.7659720269515061,0.7008139233113864,0.7121738109539549
0,2100000,0.7863149328265335,0.7908872106196472,0.7686472222852679,0.7597006874315476,0.7657060007392333,0.7598244992847314,0.6993827877306149,0.7112998256694898
0,2150000,0.7960595780131543,0.7970462912908443,0.7647075053768067,0.7509369614757604,0.7622868824558093,0.7480923649234212,0.6913277004831175,0.7049939045673217
0,2200000,0.799990543734266,0.8029527489129106,0.7719086304041769,0.7667994900199885,0.7704813786451261,0.76340120070807,0.7109913263482013,0.7249686786732076
0,2250000,0.7837467676457823,0.786969054043327,0.761150583772239,0.7517798048986757,0.759435847853115,0.7514606625441959,0.6872353087689544,0.7038388443849489
0,2300000,0.7913977780600643,0.7937879538200163,0.7694245917843179,0.7609118903431276,0.766999074954456,0.7582526270617033,0.7019036844431861,0.7182432600147917
